  0%|          | 0/5000 [00:00<?, ?it/s][WARNING|logging.py:328] 2025-08-28 23:15:51,257 >> `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                   
{'loss': 0.0699, 'grad_norm': 0.8194424510002136, 'learning_rate': 1.04e-06, 'epoch': 0.01}
{'loss': 0.0704, 'grad_norm': 0.25919222831726074, 'learning_rate': 1.06e-06, 'epoch': 0.01}
{'loss': 0.0698, 'grad_norm': 0.24621343612670898, 'learning_rate': 1.08e-06, 'epoch': 0.01}
{'loss': 0.0708, 'grad_norm': 0.23847661912441254, 'learning_rate': 1.1e-06, 'epoch': 0.01}
{'loss': 0.0705, 'grad_norm': 0.26096147298812866, 'learning_rate': 1.12e-06, 'epoch': 0.01}
{'loss': 0.0718, 'grad_norm': 0.3549145460128784, 'learning_rate': 1.14e-06, 'epoch': 0.01}
{'loss': 0.0704, 'grad_norm': 0.20983369648456573, 'learning_rate': 1.1600000000000001e-06, 'epoch': 0.01}
{'loss': 0.0704, 'grad_norm': 0.2595374286174774, 'learning_rate': 1.1800000000000001e-06, 'epoch': 0.01}
{'loss': 0.0696, 'grad_norm': 0.6540061831474304, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.01}
{'loss': 0.072, 'grad_norm': 0.2337491363286972, 'learning_rate': 1.2200000000000002e-06, 'epoch': 0.01}
{'loss': 0.0692, 'grad_norm': 0.275922030210495, 'learning_rate': 1.2400000000000002e-06, 'epoch': 0.01}
{'loss': 0.0687, 'grad_norm': 0.2462434023618698, 'learning_rate': 1.26e-06, 'epoch': 0.01}
{'loss': 0.0692, 'grad_norm': 0.24167309701442719, 'learning_rate': 1.28e-06, 'epoch': 0.01}
{'loss': 0.0685, 'grad_norm': 0.3059525489807129, 'learning_rate': 1.3e-06, 'epoch': 0.01}
{'loss': 0.0691, 'grad_norm': 0.24486428499221802, 'learning_rate': 1.32e-06, 'epoch': 0.01}
{'loss': 0.0677, 'grad_norm': 0.2181217521429062, 'learning_rate': 1.34e-06, 'epoch': 0.01}
{'loss': 0.0679, 'grad_norm': 0.19294686615467072, 'learning_rate': 1.3600000000000001e-06, 'epoch': 0.01}
{'loss': 0.0672, 'grad_norm': 0.20590735971927643, 'learning_rate': 1.3800000000000001e-06, 'epoch': 0.01}
{'loss': 0.068, 'grad_norm': 0.19963590800762177, 'learning_rate': 1.4000000000000001e-06, 'epoch': 0.01}
{'loss': 0.0668, 'grad_norm': 0.19953303039073944, 'learning_rate': 1.42e-06, 'epoch': 0.01}
{'loss': 0.0657, 'grad_norm': 0.23154737055301666, 'learning_rate': 1.44e-06, 'epoch': 0.01}
{'loss': 0.0662, 'grad_norm': 0.19341808557510376, 'learning_rate': 1.46e-06, 'epoch': 0.01}
{'loss': 0.0678, 'grad_norm': 0.18071424961090088, 'learning_rate': 1.48e-06, 'epoch': 0.01}
{'loss': 0.0617, 'grad_norm': 0.18305501341819763, 'learning_rate': 1.5e-06, 'epoch': 0.02}
{'loss': 0.0673, 'grad_norm': 0.28956079483032227, 'learning_rate': 1.52e-06, 'epoch': 0.02}
{'loss': 0.0667, 'grad_norm': 0.22287312150001526, 'learning_rate': 1.54e-06, 'epoch': 0.02}
{'loss': 0.0666, 'grad_norm': 0.2069101184606552, 'learning_rate': 1.56e-06, 'epoch': 0.02}
{'loss': 0.0659, 'grad_norm': 0.17824676632881165, 'learning_rate': 1.5800000000000001e-06, 'epoch': 0.02}
{'loss': 0.064, 'grad_norm': 0.3155449330806732, 'learning_rate': 1.6000000000000001e-06, 'epoch': 0.02}
{'loss': 0.0659, 'grad_norm': 0.21425530314445496, 'learning_rate': 1.6200000000000002e-06, 'epoch': 0.02}
{'loss': 0.0639, 'grad_norm': 0.23016484081745148, 'learning_rate': 1.6400000000000002e-06, 'epoch': 0.02}
{'loss': 0.0661, 'grad_norm': 0.18555814027786255, 'learning_rate': 1.6600000000000002e-06, 'epoch': 0.02}
{'loss': 0.0663, 'grad_norm': 0.1845061033964157, 'learning_rate': 1.6800000000000002e-06, 'epoch': 0.02}
